Business Name,Contact Name,Industry,Monthly Revenue,Phone,Email,Address,City,State,ZIP,Years in Business,Funding Need,Temperature,Score,Minority Owned
"MG & JR TRUCKING LLC","Owner","Trucking",45000,"(214) 374-9610","Mgjrtruckingllc@yahoo.com","1956 Aspen St","Dallas","TX","75208",1,"Working capital","WARM",75,No
"Action Trucking Company","Owner","Trucking",85000,"713-433-4574","info@actiontrucking.com","11111 Cash Rd","Houston","TX","77024",7,"Expansion","HOT",92,No
"Faith Demolition LLC","Angela Johnson","Construction",35000,"(979) 777-6827","aj75240@gmail.com","4107 Southern Trace Dr","College Station","TX","77845",3,"Equipment","HOT",88,Yes,Hispanic
"Aphrodite Enterprises Inc","Owner","Restaurant",25000,"(512) 693-4919","kj@aphroditeoysters.com","3715 S Congress Ave","Austin","TX","78704",2,"Expansion","WARM",65,No
"Netro Construction LLC","Apolonio Nigoche","Construction",40000,"(512) 661-1926","polonigoche@netroconstruction.com","11501 Ranch Rd","Austin","TX","78726",3,"Working capital","WARM",72,No
"Gerrald Drilling Inc","Owner","Construction",55000,"(409) 201-8708","gerralddrilling@gmail.com","1258 B Co Rd 402","Fayetteville","TX","78940",6,"Equipment","HOT",90,No
"Arrington Concrete Inc","Owner","Construction",30000,"(713) 291-6772","arrington.concreteinc@gmail.com","17717 Fm 2100 Rd","Crosby","TX",77532,10,"Working capital","WARM",70,No
"J & S Concrete LLC","Owner","Construction",42000,"(214) 469-9876","jnsconcretellc@gmail.com","12475 Plano Rd","Dallas","TX","75243",5,"Expansion","WARM",75,No
"Lopez Custom Homes LLC","Luis Lopez","Construction",60000,"(956) 566-1612","lopezcustomhomes@gmail.com","1600 E Expressway 83","Mission","TX","78572",8,"Expansion","HOT",85,Yes,Hispanic
"L & J Concrete LLC","Owner","Construction",38000,"(281) 485-2698","lnjconcretellc@gmail.com","13455 South Fwy","Houston","TX","77047",4,"Equipment","WARM",73,Yes,Hispanic
"Stell Concrete LLC","Owner","Construction",28000,"(214) 497-6666","stellconcretellc@gmail.com","2914 Merriman St","Dallas","TX","75226",2,"Working capital","COLD",55,No
"KJ Jones Concrete LLC","Owner","Construction",32000,"(972) 302-9612","kjjonesconcrete@gmail.com","1135 N Carrier Pkwy","Grand Prairie","TX","75050",4,"Expansion","WARM",68,No
